iter	RMSE
0	31.52824546
1	31.12026679
2	30.73832831
3	30.3778697
4	30.04160032
5	29.72293255
6	29.42201373
7	29.14213122
8	28.87718672
9	28.6278398
10	28.39276763
11	28.17370266
12	27.96760887
13	27.77373731
14	27.59188042
15	27.42097791
16	27.25891918
17	27.1078514
18	26.9638945
19	26.82806107
20	26.70238845
21	26.58430577
22	26.47500691
23	26.37275382
24	26.27634384
25	26.18494636
26	26.09955503
27	26.01941395
28	25.94584986
29	25.87341509
30	25.80724629
31	25.74510693
32	25.68754357
33	25.63357123
34	25.58131835
35	25.53282264
36	25.48801075
37	25.44475905
38	25.40404818
39	25.3655177
40	25.33082004
41	25.29879386
42	25.26840614
43	25.23922531
44	25.2110559
45	25.18408055
46	25.15977565
47	25.13774404
48	25.11589017
49	25.09621419
50	25.07737067
51	25.0592719
52	25.04241761
53	25.0260772
54	25.01092364
55	24.99660329
56	24.98355593
57	24.97109068
58	24.95949509
59	24.94848836
60	24.93779641
61	24.9278438
62	24.9188392
63	24.90987219
64	24.90164123
65	24.89342787
66	24.88617143
67	24.87959374
68	24.87307894
69	24.86684586
70	24.86126817
71	24.85528221
72	24.84966806
73	24.84474856
74	24.83994727
75	24.83520483
76	24.83096881
77	24.82710944
78	24.82361661
79	24.82001501
80	24.8165441
81	24.81354082
82	24.81041596
83	24.80732067
84	24.80472298
85	24.80204979
86	24.79957959
87	24.79715608
88	24.79506958
89	24.79303228
90	24.79112202
91	24.78933678
92	24.78747676
93	24.78578502
94	24.7840864
95	24.78256062
96	24.78111634
97	24.77956553
98	24.77833085
99	24.77705423
100	24.77566554
101	24.77441898
102	24.7733091
103	24.77225905
104	24.77115636
105	24.77024022
106	24.76935479
107	24.76850541
108	24.76764516
109	24.7667611
110	24.76594153
111	24.76514968
112	24.7643843
113	24.76359666
114	24.76283203
115	24.7622513
116	24.76163544
117	24.76098746
118	24.76033217
119	24.75961187
120	24.75901294
121	24.75848407
122	24.75792266
123	24.75740065
124	24.75692549
125	24.75644237
126	24.75590005
127	24.75534177
128	24.75482934
129	24.75440871
130	24.75394244
131	24.75352252
132	24.7532093
133	24.75281319
134	24.75246324
135	24.75211663
136	24.75177586
137	24.75144636
138	24.75113204
139	24.75077913
140	24.75027695
141	24.74993053
142	24.74947806
143	24.74899822
144	24.74859082
145	24.74823127
146	24.74780324
147	24.74753575
148	24.74722163
149	24.74681553
150	24.74649124
151	24.7462499
152	24.74590558
153	24.74559952
154	24.74534398
155	24.74513016
156	24.7448885
157	24.74458452
158	24.74429548
159	24.7440527
160	24.74360828
161	24.7433983
162	24.7430407
163	24.74279609
164	24.74232653
165	24.7420717
166	24.74160901
167	24.74142904
168	24.74116258
169	24.74093517
170	24.74068056
171	24.74028874
172	24.73994217
173	24.73969826
174	24.73942551
175	24.73915796
176	24.73892454
177	24.73851876
178	24.73828522
179	24.73808102
180	24.73772636
181	24.73746448
182	24.7371845
183	24.73690025
184	24.73662939
185	24.73642738
186	24.73630639
187	24.73596428
188	24.73565611
189	24.73544625
190	24.73520952
191	24.73493227
192	24.73468239
193	24.73445879
194	24.73421593
195	24.73401401
196	24.73366857
197	24.7333502
198	24.73294044
199	24.73262329
200	24.73246452
201	24.73211288
202	24.73177758
203	24.73154612
204	24.73116109
205	24.73090205
206	24.73056402
207	24.73025998
208	24.72994161
209	24.72973686
210	24.72943018
211	24.72922178
212	24.72902269
213	24.72864792
214	24.72851045
215	24.72824991
216	24.728026
217	24.72783647
218	24.72737924
219	24.72695182
220	24.72672695
221	24.72644522
222	24.7262522
223	24.72602807
224	24.72581926
225	24.72563193
226	24.72540989
227	24.72511647
228	24.72485373
229	24.72469918
230	24.72451541
231	24.72421883
232	24.72394711
233	24.72369368
234	24.72352024
235	24.72315769
236	24.72291012
237	24.72273925
238	24.72259037
239	24.72244475
240	24.72219155
241	24.72194879
242	24.72178327
243	24.72156141
244	24.72133249
245	24.72114758
246	24.72095554
247	24.72073217
248	24.72053105
249	24.72033611
250	24.7201298
251	24.71987127
252	24.71964466
253	24.71941165
254	24.71917601
255	24.71882326
256	24.71854994
257	24.71829409
258	24.7180932
259	24.71789538
260	24.71752151
261	24.71729796
262	24.71708834
263	24.71697495
264	24.71680737
265	24.71658539
266	24.71639232
267	24.71626162
268	24.71603977
269	24.71591098
270	24.71560284
271	24.71527118
272	24.71513446
273	24.71482563
274	24.71458657
275	24.71445064
276	24.71406472
277	24.7137939
278	24.71347259
279	24.71324933
280	24.71297591
281	24.71262929
282	24.71224005
283	24.71200167
284	24.71186964
285	24.71164604
286	24.71141207
287	24.71113649
288	24.71095391
289	24.71067279
290	24.7103588
291	24.71007302
292	24.70978749
293	24.70960691
294	24.7094001
295	24.7091077
296	24.70892539
297	24.70873401
298	24.70849756
299	24.70806321
300	24.70787654
301	24.70763175
302	24.70742877
303	24.70720986
304	24.70706554
305	24.70682837
306	24.70656356
307	24.70638585
308	24.70618834
309	24.70597737
310	24.70574911
311	24.70556694
312	24.70533232
313	24.70519538
314	24.70497563
315	24.70478605
316	24.70457336
317	24.70426716
318	24.70406792
319	24.70387831
