iter	Passed	Remaining
0	83	26730
1	97	15568
2	110	11715
3	123	9728
4	139	8761
5	151	7944
6	164	7350
7	176	6885
8	188	6527
9	201	6245
10	213	5997
11	225	5798
12	238	5622
13	251	5486
14	263	5365
15	276	5247
16	288	5134
17	300	5034
18	312	4952
19	324	4872
20	336	4797
21	348	4724
22	361	4663
23	373	4606
24	385	4552
25	398	4502
26	410	4454
27	422	4406
28	434	4360
29	446	4316
30	459	4280
31	471	4241
32	482	4199
33	494	4162
34	506	4128
35	519	4096
36	531	4065
37	543	4033
38	555	3999
39	566	3967
40	578	3939
41	591	3915
42	603	3889
43	615	3862
44	627	3835
45	639	3809
46	651	3784
47	663	3761
48	675	3737
49	687	3714
50	699	3690
51	711	3666
52	723	3643
53	734	3619
54	746	3596
55	758	3575
56	770	3555
57	782	3534
58	794	3515
59	806	3492
60	817	3471
61	829	3450
62	841	3434
63	855	3423
64	868	3408
65	881	3390
66	893	3372
67	904	3353
68	916	3332
69	927	3313
70	939	3294
71	951	3276
72	962	3258
73	974	3238
74	985	3220
75	997	3200
76	1008	3182
77	1020	3165
78	1032	3150
79	1044	3133
80	1056	3116
81	1068	3101
82	1080	3084
83	1091	3067
84	1103	3051
85	1115	3035
86	1127	3019
87	1139	3002
88	1150	2985
89	1162	2971
90	1174	2955
91	1186	2939
92	1197	2922
93	1208	2906
94	1220	2890
95	1232	2874
96	1244	2860
97	1255	2843
98	1267	2829
99	1279	2814
100	1290	2797
101	1301	2781
102	1312	2765
103	1324	2750
104	1335	2734
105	1347	2720
106	1359	2705
107	1371	2691
108	1383	2678
109	1395	2664
110	1407	2650
111	1419	2636
112	1431	2621
113	1443	2607
114	1454	2593
115	1466	2578
116	1477	2563
117	1488	2548
118	1500	2534
119	1511	2519
120	1523	2506
121	1535	2492
122	1547	2478
123	1559	2464
124	1571	2450
125	1582	2437
126	1595	2424
127	1607	2411
128	1618	2396
129	1629	2382
130	1641	2367
131	1652	2354
132	1664	2340
133	1676	2326
134	1688	2313
135	1700	2300
136	1711	2286
137	1723	2272
138	1734	2258
139	1746	2245
140	1758	2232
141	1770	2219
142	1783	2207
143	1794	2193
144	1806	2179
145	1818	2166
146	1830	2153
147	1842	2141
148	1853	2127
149	1866	2115
150	1878	2102
151	1890	2089
152	1901	2075
153	1913	2062
154	1925	2049
155	1936	2036
156	1949	2023
157	1961	2011
158	1973	1997
159	1984	1984
160	1996	1971
161	2008	1958
162	2020	1946
163	2032	1933
164	2044	1920
165	2055	1907
166	2067	1894
167	2078	1880
168	2091	1868
169	2103	1856
170	2116	1843
171	2127	1830
172	2141	1819
173	2155	1808
174	2168	1796
175	2179	1783
176	2192	1771
177	2203	1757
178	2215	1745
179	2227	1732
180	2239	1720
181	2252	1707
182	2264	1695
183	2277	1683
184	2289	1670
185	2300	1657
186	2312	1644
187	2324	1632
188	2336	1619
189	2348	1606
190	2360	1594
191	2373	1582
192	2384	1569
193	2397	1556
194	2410	1544
195	2422	1532
196	2434	1519
197	2446	1507
198	2458	1494
199	2470	1482
200	2482	1469
201	2494	1457
202	2506	1444
203	2519	1432
204	2530	1419
205	2542	1407
206	2554	1394
207	2566	1382
208	2579	1369
209	2591	1357
210	2603	1344
211	2615	1332
212	2628	1320
213	2640	1307
214	2652	1295
215	2665	1283
216	2677	1270
217	2690	1258
218	2702	1246
219	2714	1233
220	2727	1221
221	2738	1208
222	2750	1196
223	2763	1184
224	2776	1172
225	2788	1159
226	2800	1147
227	2812	1134
228	2825	1122
229	2836	1109
230	2848	1097
231	2860	1085
232	2872	1072
233	2884	1060
234	2897	1048
235	2910	1035
236	2923	1023
237	2935	1011
238	2947	998
239	2958	986
240	2970	973
241	2983	961
242	2995	949
243	3008	936
244	3020	924
245	3033	912
246	3045	900
247	3057	887
248	3069	875
249	3082	863
250	3093	850
251	3105	837
252	3118	825
253	3129	813
254	3141	800
255	3154	788
256	3166	776
257	3179	764
258	3191	751
259	3203	739
260	3216	727
261	3228	714
262	3239	702
263	3250	689
264	3262	677
265	3273	664
266	3285	652
267	3297	639
268	3311	627
269	3325	615
270	3338	603
271	3352	591
272	3364	579
273	3377	567
274	3391	554
275	3405	542
276	3418	530
277	3431	518
278	3444	506
279	3456	493
280	3468	481
281	3481	469
282	3493	456
283	3505	444
284	3518	432
285	3530	419
286	3543	407
287	3555	395
288	3567	382
289	3579	370
290	3591	357
291	3603	345
292	3614	333
293	3626	320
294	3639	308
295	3650	296
296	3663	283
297	3674	271
298	3686	258
299	3697	246
300	3710	234
301	3722	221
302	3734	209
303	3746	197
304	3759	184
305	3771	172
306	3782	160
307	3794	147
308	3807	135
309	3819	123
310	3831	110
311	3843	98
312	3855	86
313	3868	73
314	3880	61
315	3892	49
316	3903	36
317	3915	24
318	3926	12
319	3938	0
