================================================================================
DELIVERY TIME ANALYSIS BY STORE
================================================================================

Generated: 2026-01-29T07:32:00.716563
Database: /Users/josephruiz/Documents/GitHub/fake_grocery_delivery_service/database/grocery_delivery.db
Total delivered orders: 400567

OVERALL STATISTICS:
Mean: 153.54 minutes
Std:  28.77 minutes
CV:   18.7%

PER-STORE STATISTICS:
Store ID           Count       Mean        Std        Min        Max
--------------------------------------------------------------------------------
95468e87-9d14-4d79-90af-4ba75ae27b6c    13985     153.28      28.66      73.00     236.00
79032888-723a-44bd-b5c4-72e2d5a22406    13893     153.19      28.76      72.00     236.00
245d00b0-2062-40ef-8231-6625cc5f3d8b    12381     153.98      28.53      72.00     232.00
e2b6f325-6997-4129-a598-14b9f124d1a6    11124     153.58      28.76      71.00     236.00
e5cc4e3a-a0f8-4edb-b682-4a0570a20a13    10648     153.76      28.97      74.00     237.00
a4c34a64-22bb-4dd6-a276-3f7600bb1971    10549     153.37      28.61      71.00     235.00
15b06392-79bc-4f2e-8de6-02504dd4691a    10262     153.77      28.58      74.00     235.00
746768fc-776a-4272-8ddc-ce1618dc5d49    10261     153.54      28.89      75.00     237.00
091ec8c4-a526-4299-a343-1475f00d3edc    10250     153.35      28.41      74.00     234.00
709c69d1-df7f-4ab9-99b5-1fe871397d1e    10130     153.82      28.69      70.00     233.00
054597b2-e754-431b-8c55-fe290b01c0de     9938     153.65      28.47      73.00     236.00
fc46052d-1722-4d88-88ab-0d3fd4554593     9860     153.78      28.50      73.00     237.00
28184fc0-238f-4ff4-956b-be884c5534d4     9156     153.67      28.97      70.00     237.00
308ca873-0000-4d0a-93a7-13a7b923a795     9079     153.02      28.98      73.00     235.00
085078b5-293f-47fc-8697-14f783b011d4     8914     154.06      28.87      72.00     233.00
6794f9cb-546e-4176-9acd-b2ae1485bc7d     8465     153.80      28.55      73.00     235.00
abc5f37d-5dec-4534-8aff-ca5df78810c5     8416     153.51      29.21      78.00     235.00
58e9e24d-4306-492f-a40b-82bfe01bd54e     8401     153.71      28.91      73.00     232.00
12982ed3-e26a-4693-87ff-882f08f2cb54     8391     153.74      28.73      71.00     233.00
436a30b4-bf04-4e3e-96d3-7c4a7aa837a7     8218     152.97      28.35      74.00     235.00
cdc99160-3f81-400a-9cd3-c192e244e3ed     8171     153.15      28.76      74.00     234.00
38b85839-5c8d-4409-afba-ee8b84ed2dcc     8167     153.55      28.69      72.00     233.00
f403fcd5-40f6-4d43-bb8a-b309fe6efaf3     7867     153.09      29.08      76.00     233.00
b595fc50-4688-47a2-96b9-87c6c5822383     7847     154.11      28.71      72.00     235.00
92ce934b-4a4e-4031-8a64-8533cd87d8c0     7813     153.08      28.58      70.00     231.00
0d1065be-834f-474e-85ce-6b76d363d166     7670     154.17      28.56      71.00     235.00
a196a0e1-e7ab-4369-ace6-73674e2cd43e     7601     153.74      28.70      76.00     237.00
a99d28e6-c29f-4253-ba76-5936665365cc     7387     153.39      29.01      75.00     233.00
90e33275-2b30-4edd-adb2-1e3348fccf04     7331     153.62      28.89      75.00     232.00
1c2f1bee-dfd2-4fc9-bf7a-6ef0963429bc     7134     153.13      28.73      71.00     235.00
a035bafb-36e1-490d-9bbf-7e7f791a31a5     6940     153.67      28.76      73.00     237.00
0989be59-0bf8-40ba-953a-6216acbb25db     6912     153.65      28.45      70.00     236.00
3801d1d3-382b-4979-a471-4dc7375fbb56     6909     153.74      28.75      76.00     237.00
e76efbc2-f5c9-4887-805e-76e7b15d722b     6785     153.21      29.22      72.00     236.00
db5f2438-04c5-445c-a666-56d78fd9b1d3     6772     153.81      29.02      77.00     240.00
8b5cc3da-7557-4ae3-b563-526c4e7517c6     6758     153.36      29.09      76.00     233.00
54c11352-04ce-4bf7-8a65-ab37467930ab     6725     153.31      28.93      74.00     232.00
e64135b3-af0c-43f6-aead-4f49fd1f3640     6724     153.56      28.59      77.00     235.00
a0642aaa-9611-485e-bcb5-7dcdb6416fc9     6654     153.94      28.65      75.00     231.00
5ac1f565-9281-4668-bbbf-586056b9d2bd     6623     153.56      28.75      75.00     234.00
0264b087-5a39-45f4-8fc3-e854913aa7b7     6427     153.42      29.32      72.00     233.00
d4d1fa27-6804-46b4-b32e-9cda0e19c581     6373     153.59      29.12      72.00     234.00
a2e8b01a-c179-4dbe-b81f-4c4d0c9e7447     6267     152.79      29.24      74.00     234.00
16519dfc-94bb-4456-a885-9c4e6a8e3b48     6056     153.24      28.90      71.00     233.00
8b038599-c167-43c2-b697-2049156680bc     5953     153.52      28.57      72.00     232.00
2280c851-2784-43ae-ba7e-0ec9b0d6e5f0     5907     153.48      28.51      73.00     236.00
eeb048f0-21e5-475a-9f42-1e2ea070f5a0     5557     153.59      28.96      74.00     233.00
e471aa3f-c6ae-4c8e-a0b2-1e1cb3905829     5506     153.74      28.74      77.00     234.00
423fda34-a11a-46fe-b807-fe83f9b7ac3e     5410     153.78      28.98      72.00     231.00
